ModelName,ModelNumber,Batch,MaxRank,Reaction,Norm_React,Species,Norm_Species,Countback,Norm_Countback
AL1D,11,L1,6,3,0.4,1,0,1,0
AL1D,12,L1,6,1,0,6,1,4,0.6
AL1D,13,L1,6,6,1,6,1,3,0.4
AL1D,14,L1,6,5,0.8,6,1,1,0
AL1D,15,L1,6,1,0,1,0,6,1
AL1D,16,L1,5,3,0.5,5,1,3,0.5
AL1D,17,L1,6,2,0.2,6,1,1,0
AL1D,19,L1,6,4,0.6,4,0.6,1,0
AL1D,2,L1,5,3,0.5,5,1,1,0
AL1D,20,L1,5,5,1,3,0.5,1,0
AL1D,21,L1,5,5,1,5,1,5,1
AL1D,23,L1,6,6,1,6,1,3,0.4
AL1D,3,L1,5,5,1,5,1,5,1
AL1D,4,L1,6,4,0.6,3,0.4,1,0
AL1D,6,L1,6,3,0.4,3,0.4,1,0
AL1D,7,L1,5,2,0.25,1,0,1,0
AL1D,9,L1,5,1,0,4,0.75,2,0.25
AM1,10,L1,5,1,0,5,1,1,0
AM1,11,L1,5,1,0,5,1,1,0
AM1,13,L1,4,4,1,4,1,1,0
AM1,16,L1,5,1,0,5,1,1,0
AM1,17,L1,4,4,1,4,1,1,0
AM1,18,L1,4,4,1,4,1,1,0
AM1,20,L1,5,4,0.75,5,1,1,0
AM1,22,L1,5,4,0.75,5,1,1,0
AM1,23,L1,5,4,0.75,5,1,1,0
AM1,4,L1,4,1,0,4,1,1,0
AM1,7,L1,4,4,1,4,1,1,0
AM1,8,L1,5,4,0.75,5,1,1,0
EG,19,L1,13,5,0.333333333,10,0.75,1,0
EG,22,L1,13,6,0.416666667,11,0.833333333,1,0
EG,23,L1,12,3,0.181818182,5,0.363636364,1,0
EG,24,L1,12,2,0.090909091,3,0.181818182,1,0
EG,5,L1,13,6,0.416666667,11,0.833333333,1,0
H1,1,L1,12,11,0.909090909,12,1,1,0
H1,10,L1,12,11,0.909090909,12,1,1,0
H1,12,L1,12,1,0,12,1,1,0
H1,13,L1,12,11,0.909090909,12,1,1,0
H1,14,L1,11,11,1,11,1,2,0.1
H1,15,L1,12,11,0.909090909,12,1,1,0
H1,16,L1,12,12,1,12,1,1,0
H1,17,L1,12,12,1,12,1,1,0
H1,19,L1,12,10,0.818181818,12,1,1,0
H1,2,L1,12,11,0.909090909,12,1,1,0
H1,20,L1,12,12,1,12,1,1,0
H1,25,L1,11,7,0.6,10,0.9,1,0
H1,4,L1,12,12,1,12,1,1,0
H1,6,L1,11,11,1,11,1,1,0
H1,8,L1,12,12,1,12,1,1,0
H1,9,L1,12,11,0.909090909,12,1,2,0.090909091
Max,10,L1,3,3,1,3,1,1,0
Max,11,L1,4,4,1,4,1,1,0
Max,14,L1,4,4,1,4,1,1,0
Max,15,L1,3,3,1,3,1,1,0
Max,16,L1,4,1,0,4,1,2,0.333333333
Max,18,L1,4,4,1,4,1,1,0
Max,19,L1,3,3,1,3,1,1,0
Max,2,L1,3,3,1,3,1,1,0
Max,21,L1,4,4,1,4,1,1,0
Max,22,L1,3,3,1,3,1,1,0
Max,23,L1,4,1,0,4,1,3,0.666666667
Max,24,L1,3,3,1,3,1,1,0
Max,25,L1,3,3,1,3,1,1,0
Max,3,L1,4,1,0,4,1,1,0
Max,4,L1,3,3,1,3,1,3,1
Max,5,L1,3,3,1,3,1,1,0
Max,6,L1,3,3,1,3,1,3,1
Max,7,L1,4,4,1,4,1,1,0
Max,8,L1,4,4,1,4,1,1,0
Mod,1,L1,5,4,0.75,5,1,1,0
Mod,10,L1,5,1,0,5,1,1,0
Mod,12,L1,6,4,0.6,6,1,1,0
Mod,13,L1,6,5,0.8,6,1,1,0
Mod,14,L1,5,5,1,5,1,1,0
Mod,15,L1,6,6,1,6,1,1,0
Mod,16,L1,5,1,0,5,1,1,0
Mod,17,L1,6,6,1,6,1,1,0
Mod,18,L1,5,3,0.5,5,1,1,0
Mod,19,L1,5,5,1,5,1,1,0
Mod,20,L1,6,1,0,6,1,1,0
Mod,22,L1,6,1,0,6,1,1,0
Mod,23,L1,5,3,0.5,5,1,5,1
Mod,24,L1,6,5,0.8,6,1,1,0
Mod,25,L1,6,4,0.6,6,1,1,0
Mod,4,L1,6,1,0,6,1,1,0
Mod,5,L1,6,1,0,6,1,1,0
Mod,6,L1,6,6,1,6,1,1,0
Mod,8,L1,6,4,0.6,6,1,1,0
Mod,9,L1,5,1,0,5,1,1,0
AL1D,11,L2,6,3,0.4,1,0,1,0
AL1D,12,L2,6,1,0,6,1,4,0.6
AL1D,13,L2,6,6,1,6,1,3,0.4
AL1D,14,L2,6,5,0.8,6,1,1,0
AL1D,15,L2,6,1,0,1,0,6,1
AL1D,16,L2,5,3,0.5,5,1,3,0.5
AL1D,17,L2,6,2,0.2,6,1,1,0
AL1D,19,L2,6,4,0.6,4,0.6,1,0
AL1D,2,L2,5,3,0.5,5,1,1,0
AL1D,20,L2,5,5,1,3,0.5,1,0
AL1D,21,L2,5,5,1,5,1,5,1
AL1D,23,L2,6,6,1,6,1,3,0.4
AL1D,3,L2,5,5,1,5,1,5,1
AL1D,4,L2,6,4,0.6,3,0.4,1,0
AL1D,6,L2,6,3,0.4,3,0.4,1,0
AL1D,7,L2,5,2,0.25,1,0,1,0
AL1D,9,L2,5,1,0,4,0.75,2,0.25
AM1,10,L2,5,1,0,5,1,1,0
AM1,11,L2,5,1,0,5,1,1,0
AM1,13,L2,4,4,1,4,1,1,0
AM1,16,L2,5,1,0,5,1,1,0
AM1,17,L2,4,4,1,4,1,1,0
AM1,18,L2,4,4,1,4,1,1,0
AM1,20,L2,5,4,0.75,5,1,1,0
AM1,22,L2,5,4,0.75,5,1,1,0
AM1,23,L2,5,4,0.75,5,1,1,0
AM1,4,L2,4,1,0,4,1,1,0
AM1,7,L2,4,4,1,4,1,1,0
AM1,8,L2,5,4,0.75,5,1,1,0
EG,19,L2,13,5,0.333333333,10,0.75,1,0
EG,22,L2,13,6,0.416666667,11,0.833333333,1,0
EG,23,L2,12,3,0.181818182,5,0.363636364,1,0
EG,24,L2,12,2,0.090909091,3,0.181818182,1,0
EG,5,L2,13,6,0.416666667,11,0.833333333,1,0
H1,1,L2,12,11,0.909090909,12,1,1,0
H1,10,L2,12,11,0.909090909,12,1,1,0
H1,12,L2,12,1,0,12,1,1,0
H1,13,L2,12,11,0.909090909,12,1,1,0
H1,14,L2,11,11,1,11,1,2,0.1
H1,15,L2,12,11,0.909090909,12,1,1,0
H1,16,L2,12,12,1,12,1,1,0
H1,17,L2,12,12,1,12,1,1,0
H1,19,L2,12,10,0.818181818,12,1,1,0
H1,2,L2,12,11,0.909090909,12,1,1,0
H1,20,L2,12,12,1,12,1,1,0
H1,25,L2,11,7,0.6,10,0.9,1,0
H1,4,L2,12,12,1,12,1,1,0
H1,6,L2,11,11,1,11,1,1,0
H1,8,L2,12,12,1,12,1,1,0
H1,9,L2,12,11,0.909090909,12,1,2,0.090909091
Max,10,L2,3,3,1,3,1,1,0
Max,11,L2,4,4,1,4,1,1,0
Max,14,L2,4,4,1,4,1,1,0
Max,15,L2,3,3,1,3,1,1,0
Max,16,L2,4,1,0,4,1,2,0.333333333
Max,18,L2,4,4,1,4,1,1,0
Max,19,L2,3,3,1,3,1,1,0
Max,2,L2,3,3,1,3,1,1,0
Max,21,L2,4,4,1,4,1,1,0
Max,22,L2,3,3,1,3,1,1,0
Max,23,L2,4,1,0,4,1,3,0.666666667
Max,24,L2,3,3,1,3,1,1,0
Max,25,L2,3,3,1,3,1,1,0
Max,3,L2,4,1,0,4,1,1,0
Max,4,L2,3,3,1,3,1,3,1
Max,5,L2,3,3,1,3,1,1,0
Max,6,L2,3,3,1,3,1,3,1
Max,7,L2,4,4,1,4,1,1,0
Max,8,L2,4,4,1,4,1,1,0
Mod,1,L2,5,4,0.75,5,1,1,0
Mod,10,L2,5,1,0,5,1,1,0
Mod,12,L2,6,4,0.6,6,1,1,0
Mod,13,L2,6,5,0.8,6,1,1,0
Mod,14,L2,5,5,1,5,1,1,0
Mod,15,L2,6,6,1,6,1,1,0
Mod,16,L2,5,1,0,5,1,1,0
Mod,17,L2,6,6,1,6,1,1,0
Mod,18,L2,5,3,0.5,5,1,1,0
Mod,19,L2,5,5,1,5,1,1,0
Mod,20,L2,6,1,0,6,1,1,0
Mod,22,L2,6,1,0,6,1,1,0
Mod,23,L2,5,4,0.75,5,1,1,0
Mod,24,L2,6,5,0.8,6,1,1,0
Mod,25,L2,6,4,0.6,6,1,1,0
Mod,4,L2,6,1,0,6,1,1,0
Mod,5,L2,6,1,0,6,1,1,0
Mod,6,L2,6,6,1,6,1,1,0
Mod,8,L2,6,4,0.6,6,1,1,0
Mod,9,L2,5,1,0,5,1,1,0
AL1D,11,L3,6,3,0.4,1,0,1,0
AL1D,12,L3,6,1,0,6,1,4,0.6
AL1D,13,L3,6,6,1,6,1,3,0.4
AL1D,14,L3,6,5,0.8,6,1,1,0
AL1D,15,L3,6,1,0,1,0,6,1
AL1D,16,L3,5,3,0.5,5,1,3,0.5
AL1D,17,L3,6,2,0.2,6,1,1,0
AL1D,19,L3,6,4,0.6,4,0.6,1,0
